freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
/m/05zv2b3,22528480,,,,,,18040903,Jack Lenor Larsen
/m/04grt38,18765167,,,,,,18040933,Tucker Viemeister
/m/02r4rz2,11239818,,,,,,18040947,Sue Palmer
/m/0h3xzj_,32855143,,,,,,18040949,Michele Oka Doner
/m/0f94vg,5854220,,,,,,18041023,Vladimir Kagan
/m/078zrz,2393913,,,,,,18041025,Hiroshi Awatsuji
/m/05p6rp,1697559,,,1619,,,18041029,Henry Dreyfuss Associates
,,,,,,,18041077,Donald Cameron
/m/0hr2cyz,34056483,,,,,,18041081,Création Baumann AG
/m/03h3x_c,14989908,,,,3536,,18041127,Per Arnoldi
/m/03c38sz,13375570,,,5800,,,18041173,Ikko Tanaka
/m/0589sr9,20811216,,,,,,18041253,Richard Arbib
/m/0gyvvwk,30129469,,,,,,18041321,Maya Romanoff
,,,,2005,,,18041325,Dan Friedman
/m/0ccj4,45534,100223891,,7661,,,18041345,Aldo Rossi
,,,,,,,18041393,John Bruce
/m/0bp_jq,4207229,,,8451,,,18041437,Dieter Rams
/m/05p6rp,1697559,8198939,,,,,18041501,Henry Dreyfuss
/m/01gx66,225721,,,,,,18041507,"Honeywell, Inc."
/m/02qfkx,563788,,,,,,18041523,Tibor Kalman
/m/05z_tr_,22481954,,,,,18308365,18041543,Belle Kogan
/m/0fy13j,,,,8271,,,18041625,Edward Fella
/m/0dcmnj,5285932,,,7456,,,18041683,Art Chantry
/m/01p60k,274837,,,,,,18041809,Cranbrook Academy of Art
/m/0c8fsq,4550992,,,2330,,,18041839,April Greiman
/m/03mnk,21347024,,,,,,18041847,Hewlett-Packard
/m/03sc8,18622259,,,7636,37577,,18041871,IBM
/m/07zy60,2720986,,,,2601,,18041911,Jean Le Pautre
/m/036wbz,735328,,,,,,18041915,Giulio Romano
/m/0273cw7,8436986,,,,,,18041919,Giovanni Francesco Romanelli
/m/04ggyzk,18749130,,,3020,,,18041923,Edward McKnight Kauffer
/m/05ccb7,1571706,,,,1440,18297497,18041933,Wenceslaus Hollar
/m/027yjg9,9123961,,,,,,18041935,Pietro Novelli
/m/01pkdk,277766,42087786,,,,,18041941,Frederic Edwin Church
/m/047vxb,1121043,,,,,,18041943,Daniel Huntington
/m/07q413,,,,,,,18041945,Jean Bérain
/m/01th73,313284,15044075,,,,18300259,18041949,Winslow Homer
/m/0jkyd9h,35681769,,,,,,18041951,Mauro Gandolfi
/m/02q78z6,10281195,,,,,,18041953,Vittorio Maria Bigari
/m/02vfqg,602144,,,,,,18041955,Augustin Pajou
/m/04y8mqg,20155026,,,,,,18041971,Batiste Madalena
/m/05pbkh,1699063,,,,,,18041973,Donald Deskey
/m/018_d0,182947,,,,51799,,18041981,Random House
/m/059v1j,1552813,,,,,,18041985,Pantheon Books
/m/043phjb,17210825,,,,,,18041989,Asia Institute
/m/04m8t4,1251967,,,,,,18041993,Princeton University Press
/m/01gtzn,225297,,,2058,,,18042001,Emile Gallé
/m/02qkqgy,10631870,,,,,,18042005,William Guy Wall
/m/0fjykm,5999642,,,,,,18042009,Richard Hudnut
/m/03f_4x,840224,66562250,,,16076,,18042011,Joachim von Sandrart
